network,autonomous_system_number,autonomous_system_organization
2804:2384::/32,264167,amazon+-servicos-de-internet-ltda
138.94.152.0/22,264167,amazon+-servicos-de-internet-ltda
52.92.32.0/21,16509,amazon-02
71.152.126.0/23,16509,amazon-02
71.152.124.0/24,16509,amazon-02
71.152.122.0/24,16509,amazon-02
71.152.118.0/24,16509,amazon-02
71.152.116.0/23,16509,amazon-02
71.152.112.0/22,16509,amazon-02
71.152.110.0/24,16509,amazon-02
71.152.106.0/23,16509,amazon-02
72.1.32.0/21,16509,amazon-02
71.152.105.0/24,16509,amazon-02
71.152.102.0/23,16509,amazon-02
71.152.100.0/24,16509,amazon-02
71.152.96.0/22,16509,amazon-02
71.152.94.0/23,16509,amazon-02
71.152.92.0/24,16509,amazon-02
71.152.108.0/23,16509,amazon-02
72.13.121.0/24,16509,amazon-02
72.13.124.0/23,16509,amazon-02
72.18.77.0/24,16509,amazon-02
74.221.139.0/24,16509,amazon-02
74.221.137.0/24,16509,amazon-02
74.221.135.0/24,16509,amazon-02
74.221.133.0/24,16509,amazon-02
74.221.129.0/24,16509,amazon-02
74.200.120.0/24,16509,amazon-02
74.117.148.0/24,16509,amazon-02
74.116.147.0/24,16509,amazon-02
74.116.145.0/24,16509,amazon-02
74.80.247.0/24,16509,amazon-02
72.167.168.0/24,16509,amazon-02
72.46.77.0/24,16509,amazon-02
72.42.229.0/24,16509,amazon-02
72.41.0.0/20,16509,amazon-02
72.21.192.0/19,16509,amazon-02
72.18.222.0/24,16509,amazon-02
72.18.91.0/24,16509,amazon-02
71.152.88.0/22,16509,amazon-02
71.152.80.0/21,16509,amazon-02
71.152.79.0/24,16509,amazon-02
71.152.76.0/23,16509,amazon-02
71.152.16.0/21,16509,amazon-02
71.152.14.0/23,16509,amazon-02
71.152.13.0/24,16509,amazon-02
71.152.10.0/23,16509,amazon-02
71.152.8.0/24,16509,amazon-02
71.152.7.0/24,16509,amazon-02
71.152.4.0/23,16509,amazon-02
71.152.24.0/22,16509,amazon-02
71.152.0.0/22,16509,amazon-02
70.232.120.0/22,16509,amazon-02
70.232.112.0/21,16509,amazon-02
70.232.96.0/20,16509,amazon-02
70.232.88.0/22,16509,amazon-02
70.232.80.0/21,16509,amazon-02
70.232.64.0/20,16509,amazon-02
70.224.192.0/18,16509,amazon-02
71.141.0.0/21,16509,amazon-02
74.221.141.0/24,16509,amazon-02
71.152.28.0/24,16509,amazon-02
71.152.33.0/24,16509,amazon-02
