network,autonomous_system_number,autonomous_system_organization
2001:4860::/36,15169,google
34.0.96.0/19,15169,google
34.0.128.0/18,15169,google
34.0.192.0/19,15169,google
34.0.224.0/22,15169,google
34.0.234.0/24,15169,google
34.0.240.0/20,15169,google
34.1.0.0/18,15169,google
34.1.64.0/21,15169,google
34.1.72.0/22,15169,google
34.1.76.0/24,15169,google
34.1.78.0/23,15169,google
34.1.80.0/24,15169,google
34.1.83.0/24,15169,google
34.1.84.0/22,15169,google
34.1.88.0/21,15169,google
34.1.96.0/23,15169,google
34.1.98.0/24,15169,google
34.3.3.0/24,15169,google
34.4.4.0/24,15169,google
108.177.0.0/17,15169,google
108.170.224.0/19,15169,google
108.170.220.0/23,15169,google
108.170.216.0/24,15169,google
108.170.196.0/23,15169,google
104.196.80.0/20,15169,google
104.196.72.0/21,15169,google
104.154.124.0/23,15169,google
34.0.32.0/19,15169,google
34.143.64.0/21,15169,google
8.35.200.0/21,15169,google
8.8.4.0/24,15169,google
207.223.160.0/20,15169,google
199.223.238.0/23,15169,google
199.192.112.0/24,15169,google
199.36.156.0/24,15169,google
199.36.154.0/23,15169,google
193.186.4.0/24,15169,google
192.178.0.0/15,15169,google
2607:f8b0::/32,15169,google
173.194.0.0/16,15169,google
172.253.128.0/17,15169,google
172.253.64.0/18,15169,google
172.253.32.0/19,15169,google
172.253.0.0/20,15169,google
172.217.128.0/17,15169,google
172.217.64.0/18,15169,google
172.217.48.0/21,15169,google
172.217.32.0/20,15169,google
172.217.0.0/19,15169,google
2620:120:e000::/40,15169,google
172.110.32.0/21,15169,google
2800:3f0::/32,15169,google
2a00:1450::/32,15169,google
2a00:79e1:805::/48,15169,google
66.22.228.0/23,15169,google
146.148.0.0/23,15169,google
142.250.0.0/15,15169,google
2c0f:fb50::/32,15169,google
8.8.8.0/24,15169,google
34.143.88.0/21,15169,google
34.144.0.0/20,15169,google
34.152.64.0/18,15169,google
35.206.128.0/17,15169,google
35.207.0.0/17,15169,google
35.207.128.0/18,15169,google
35.208.0.0/13,15169,google
35.216.0.0/15,15169,google
35.219.0.0/17,15169,google
35.219.128.0/18,15169,google
35.219.224.0/19,15169,google
35.220.0.0/17,15169,google
35.242.0.0/17,15169,google
74.125.128.0/17,15169,google
74.125.96.0/19,15169,google
35.243.16.0/20,15169,google
