network,autonomous_system_number,autonomous_system_organization
170.110.229.0/24,12076,microsoft
170.110.247.0/24,12076,microsoft
151.207.40.0/21,12076,microsoft
172.82.0.0/24,12233,microsoft-connected-cache-powered-by-ninja-ix
2a01:110:9100::/40,3598,microsoft-corp-as
2a01:110:e040::/44,3598,microsoft-corp-as
2a01:110:e000::/42,3598,microsoft-corp-as
157.60.0.0/16,3598,microsoft-corp-as
157.59.0.0/16,3598,microsoft-corp-as
157.58.224.0/19,3598,microsoft-corp-as
157.58.220.0/22,3598,microsoft-corp-as
157.58.218.0/23,3598,microsoft-corp-as
157.58.217.0/24,3598,microsoft-corp-as
157.58.208.0/21,3598,microsoft-corp-as
157.58.192.0/20,3598,microsoft-corp-as
2a01:110:e051::/48,3598,microsoft-corp-as
157.58.0.0/17,3598,microsoft-corp-as
157.57.0.0/16,3598,microsoft-corp-as
2a01:110:c000::/35,3598,microsoft-corp-as
65.53.0.0/16,3598,microsoft-corp-as
157.54.0.0/16,3598,microsoft-corp-as
2a01:110:a000::/35,3598,microsoft-corp-as
2a01:110:9800::/37,3598,microsoft-corp-as
2a01:110:9200::/39,3598,microsoft-corp-as
157.58.128.0/18,3598,microsoft-corp-as
194.69.106.0/23,3598,microsoft-corp-as
194.69.108.0/22,3598,microsoft-corp-as
199.2.137.0/24,3598,microsoft-corp-as
167.220.248.0/21,3598,microsoft-corp-as
167.220.240.0/22,3598,microsoft-corp-as
167.220.232.0/21,3598,microsoft-corp-as
167.220.228.0/22,3598,microsoft-corp-as
167.220.224.0/23,3598,microsoft-corp-as
167.220.192.0/19,3598,microsoft-corp-as
167.220.128.0/18,3598,microsoft-corp-as
167.220.0.0/17,3598,microsoft-corp-as
198.105.232.0/22,3598,microsoft-corp-as
2a01:110:f000::/36,3598,microsoft-corp-as
2a01:110:e800::/37,3598,microsoft-corp-as
2a01:110:e400::/38,3598,microsoft-corp-as
2a01:110:e200::/39,3598,microsoft-corp-as
2a01:110:e100::/40,3598,microsoft-corp-as
2a01:110:e080::/41,3598,microsoft-corp-as
2a01:110:e060::/43,3598,microsoft-corp-as
2a01:110:e058::/45,3598,microsoft-corp-as
2a01:110:e054::/46,3598,microsoft-corp-as
2a01:110:e052::/47,3598,microsoft-corp-as
194.69.112.0/20,3598,microsoft-corp-as
194.69.96.0/21,3598,microsoft-corp-as
2a01:110:9080::/41,3598,microsoft-corp-as
131.107.0.0/16,3598,microsoft-corp-as
2a01:110:9020::/43,3598,microsoft-corp-as
2404:f801::/33,3598,microsoft-corp-as
2a01:110::/33,3598,microsoft-corp-as
2001:4898:c000::/34,3598,microsoft-corp-as
2001:4898:b800::/37,3598,microsoft-corp-as
2a01:110:9040::/42,3598,microsoft-corp-as
2001:4898:b200::/39,3598,microsoft-corp-as
2001:4898:b100::/40,3598,microsoft-corp-as
2001:4898:b0c0::/42,3598,microsoft-corp-as
2404:f801:8000::/43,3598,microsoft-corp-as
2001:4898:b0a0::/43,3598,microsoft-corp-as
2001:4898:b088::/45,3598,microsoft-corp-as
2001:4898:b084::/46,3598,microsoft-corp-as
2001:4898:b082::/47,3598,microsoft-corp-as
2001:4898:b081::/48,3598,microsoft-corp-as
2001:4898:b000::/41,3598,microsoft-corp-as
2001:4898:a000::/36,3598,microsoft-corp-as
2001:4898:8000::/35,3598,microsoft-corp-as
2001:4898::/33,3598,microsoft-corp-as
2001:4898:b090::/44,3598,microsoft-corp-as
2a01:110:8000::/36,3598,microsoft-corp-as
2001:4898:b400::/38,3598,microsoft-corp-as
2404:f801:8022::/47,3598,microsoft-corp-as
2a01:110:9010::/44,3598,microsoft-corp-as
2a01:110:900c::/46,3598,microsoft-corp-as
2a01:110:900a::/47,3598,microsoft-corp-as
2a01:110:9009::/48,3598,microsoft-corp-as
2404:f801:8021::/48,3598,microsoft-corp-as
2a01:110:9000::/45,3598,microsoft-corp-as
2404:f801:c000::/34,3598,microsoft-corp-as
2404:f801:a000::/35,3598,microsoft-corp-as
2404:f801:9000::/36,3598,microsoft-corp-as
2404:f801:8800::/37,3598,microsoft-corp-as
2a01:110:9400::/38,3598,microsoft-corp-as
2404:f801:8200::/39,3598,microsoft-corp-as
2404:f801:8400::/38,3598,microsoft-corp-as
2404:f801:8028::/45,3598,microsoft-corp-as
2404:f801:8030::/44,3598,microsoft-corp-as
2404:f801:8024::/46,3598,microsoft-corp-as
2404:f801:8080::/41,3598,microsoft-corp-as
2404:f801:8100::/40,3598,microsoft-corp-as
2404:f801:8040::/42,3598,microsoft-corp-as
98.70.0.0/15,8075,microsoft-corp-msn-as-block
91.203.230.0/24,8075,microsoft-corp-msn-as-block
103.164.237.0/24,8075,microsoft-corp-msn-as-block
103.155.245.0/24,8075,microsoft-corp-msn-as-block
103.131.148.0/23,8075,microsoft-corp-msn-as-block
103.58.119.0/24,8075,microsoft-corp-msn-as-block
103.8.80.0/24,8075,microsoft-corp-msn-as-block
91.216.184.0/24,8075,microsoft-corp-msn-as-block
91.242.222.0/24,8075,microsoft-corp-msn-as-block
94.143.105.0/24,8075,microsoft-corp-msn-as-block
98.64.0.0/14,8075,microsoft-corp-msn-as-block
